Gamma,Year,Model,Country
-0.3,1,AUT 3.1,AUT
-0.1,5,AUT 3.1,AUT
-0.25,1,AUT 3.2,AUT
-0.1,5,AUT 3.2,AUT
-0.4,1,BEL 3.1,BEL
-0.2,5,BEL 3.1,BEL
-0.3,1,INT BNK 4.0,BNK
-0.1,5,INT BNK 4.0,BNK
-0.5,1,CAN 3.1,CAN
-0.3,5,CAN 3.1,CAN
-0.4,1,CAN 3.2,CAN
-0.25,5,CAN 3.2,CAN
-0.3,1,CHE 3.1,CHE
-0.1,5,CHE 3.1,CHE
-0.17,1,CHN 3.1,CHN
-0.09,5,CHN 3.1,CHN
-0.4,1,DEU 3.1,DEU
-0.1,5,DEU 3.1,DEU
-0.25,1,DEU 3.2,DEU
-0.06,5,DEU 3.2,DEU
-0.3,1,DNK 3.1,DNK
-0.15,5,DNK 3.1,DNK
-0.4,1,EMM 3.1,EMM
-0.1,5,EMM 3.1,EMM
-0.35,1,ESP 3.1,ESP
-0.15,5,ESP 3.1,ESP
-0.3,1,FIN 3.1,FIN
-0.15,5,FIN 3.1,FIN
-0.24,1,FRA 3.1,FRA
-0.05,5,FRA 3.1,FRA
-0.5,1,FRA 4.0,FRA
-0.2,5,FRA 4.0,FRA
-0.25,1,UK 3.1,GBR
-0.15,5,UK 3.1,GBR
-0.35,1,UK 4.0,GBR
-0.05,5,UK 4.0,GBR
-0.4,1,ILH 3.1,ILH
-0.25,5,ILH 3.1,ILH
-0.4,1,IPC 3.1,IPC
-0.25,5,IPC 3.1,IPC
-0.35,1,ITA 3.1,ITA
-0.15,5,ITA 3.1,ITA
-0.45,1,ITA 4.0,ITA
-0.2,5,ITA 4.0,ITA
-0.43,1,JPN 3.1, JPN 3.1 JPN
-0.27,5,JPN 3.1, JPN 3.1 JPN
-0.35,1,JPN 3.2, JPN 3.2 JPN
-0.1,5,JPN 3.2, JPN 3.2 JPN
-0.4,1,KOR 3.1 A, KOR 3.1 AUDITED KOR
-0.15,5,KOR 3.1 A, KOR 3.1 AUDITED KOR
-0.4,1,KOR 3.1 U, KOR 3.1 UNAUDITED KOR
-0.15,5,KOR 3.1 U, KOR 3.1 UNAUDITED KOR
-0.3,1,LFE 4.0,LFE
-0.1,5,LFE 4.0,LFE
-0.5,1,LNA 3.1,LNA
-0.3,5,LNA 3.1,LNA
-0.3,1,MEX 3.1,MEX
-0.1,5,MEX 3.1,MEX
-0.4,1,NLD 3.1,NLD
-0.2,5,NLD 3.1,NLD
-0.3,1,NOR 3.1,NOR
-0.15,5,NOR 3.1,NOR
-0.35,1,PRT 3.1,PRT
-0.15,5,PRT 3.1,PRT
-0.15,1,RUS 3.1,RUS
-0.1,5,RUS 3.1,RUS
-0.3,1,SWE 3.1,SWE
-0.15,5,SWE 3.1,SWE
-0.4,1,UDS 4.0,UDS
-0.1,5,UDS 4.0,UDS
-0.5,1,UNP 4.0,UNP
-0.2,5,UNP 4.0,UNP
0.35,1,URO 4.0,URO
0.15,5,URO 4.0,URO
-0.5,1,USA 3.1,USA
-0.3,5,USA 3.1,USA
-0.3,1,USA 4.0,USA
-0.15,5,USA 4.0,USA
-0.3,1,USF 3.1,USF
-0.15,5,USF 3.1,USF
-0.25,1,USF 4.0,USF
-0.095,5,USF 4.0,USF
-0.3,1,ZAF 3.1,ZAF
-0.15,5,ZAF 3.1,ZAF
-0.28,1,ZAF 3.2,ZAF
-0.2,5,ZAF 3.2,ZAF
